time,ECG,BR
3.495,1.498,28.7
3.5,1.48,28.7
3.505,1.456,28.6
3.51,1.472,28.6
3.515,1.51,28.6
3.52,1.484,28.5
3.525,1.456,28.5
3.53,1.472,28.5
3.535,1.514,28.4
3.54,1.492,28.5
3.545,1.466,28.4
3.55,1.484,28.4
3.555,1.524,28.5
3.56,1.502,28.5
3.565,1.474,28.5
3.57,1.486,28.5
3.575,1.528,28.4
3.58,1.509,28.4
3.585,1.488,28.4
3.59,1.502,28.3
3.595,1.534,28.3
3.6,1.511,28.3
3.605,1.485,28.3
3.61,1.502,28.3
3.615,1.543,28.3
3.62,1.525,28.4
3.625,1.509,28.4
3.63,1.523,28.4
3.635,1.554,28.3
3.64,1.528,28.2
3.645,1.514,28.3
3.65,1.543,28.2
3.655,1.597,28.3
3.66,1.584,28.3
3.665,1.583,28.3
3.67,1.608,28.3
3.675,1.631,28.3
3.68,1.591,28.3
3.685,1.56,28.3
3.69,1.573,28.3
3.695,1.585,28.3
3.7,1.529,28.2
3.705,1.492,28.2
3.71,1.504,28.2
3.715,1.543,28.2
3.72,1.517,28.2
3.725,1.496,28.2
3.73,1.51,28.2
3.735,1.541,28.2
3.74,1.513,28.2
3.745,1.496,28.1
3.75,1.52,28.1
3.755,1.556,28
3.76,1.529,28
3.765,1.506,28.1
3.77,1.517,28.1
3.775,1.53,28.1
3.78,1.46,28.1
3.785,1.384,28.1
3.79,1.419,28.1
3.795,1.607,28.1
3.8,1.83,28
3.805,2.18,28
3.81,2.577,28
3.815,2.877,28
3.82,2.886,28.1
3.825,2.711,28
3.83,2.392,28
3.835,1.77,28
3.84,1.216,28
3.845,0.937,28
3.85,0.846,28
3.855,0.916,28
3.86,0.925,27.9
3.865,0.892,27.9
3.87,0.908,27.9
3.875,0.982,27.9
3.88,0.986,27.9
3.885,0.931,27.9
3.89,0.954,27.9
3.895,1.018,28
3.9,1.078,28
3.905,1.182,27.9
3.91,1.366,27.9
3.915,1.573,27.8
3.92,1.669,27.8
3.925,1.697,27.8
3.93,1.736,27.9
3.935,1.779,27.9
3.94,1.764,27.9
3.945,1.744,27.9
3.95,1.77,27.9
3.955,1.813,27.9
3.96,1.791,27.8
3.965,1.776,27.8
3.97,1.792,27.7
3.975,1.835,27.7
3.98,1.817,27.7
3.985,1.802,27.7
3.99,1.822,27.7
3.995,1.875,27.7
4,1.86,27.7
4.005,1.851,27.7
4.01,1.874,27.6
4.015,1.928,27.7
4.02,1.922,27.7
4.025,1.917,27.6
4.03,1.958,27.6
4.035,2.023,27.6
4.04,2.02,27.7
